0 0 3  .BBCCCJDD..MJAALLMFFK..N..KGGN...HHH
0 1 6  JBBCCCJDD..M.AALLMFFK..N..KGGN...HHH
0 1 6  .BBCCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 1 6  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 6  JBBCCCJDD..MAA.LLMFFK..N..KGGN...HHH
0 2 6  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 2 6  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 6  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 6  JBBCCCJDD..MAALL.MFFK..N..KGGN...HHH
0 3 6  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 6  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 6  BBCCC.J..DDMJAALLMFFK..N..KGGN...HHH
0 4 4  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 5 0  BBCCCMJ..DDMJAA...FFK..N..KGGN...HHH
0 6 0  BBCCCMJDD..MJAA...FFK..N..KGGN...HHH
0 6 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
0 6 0  BBCCCMJ..DDMJ...AAFFK..N..KGGN...HHH
