0 0 3  .BBCCCJDD..MJAALLMFFK..N..KGGN...HHH
0 1 2  JBBCCCJDD..M.AALLMFFK..N..KGGN...HHH
0 1 2  .BBCCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 1 2  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 2  JBBCCCJDD..MAA.LLMFFK..N..KGGN...HHH
0 2 2  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
0 2 2  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 2 2  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 2  JBBCCCJDD..MAALL.MFFK..N..KGGN...HHH
0 3 2  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 2  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
0 3 2  BBCCC.J..DDMJAALLMFFK..N..KGGN...HHH
0 4 1  BBCCCMJ..DDMJAALL.FFK..N..KGGN...HHH
0 5 0  BBCCCMJ..DDMJAA...FFK..N..KGGN...HHH
0 6 0  BBCCCMJDD..MJAA...FFK..N..KGGN...HHH
0 6 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
0 6 0  BBCCCMJ..DDMJ...AAFFK..N..KGGN...HHH
