3 0 3  .BBCCCJDD..MJAALLMFFK..N..KGGN...HHH
7 1 6  JBBCCCJDD..M.AALLMFFK..N..KGGN...HHH
7 1 6  .BBCCCJ.DD.MJAALLMFFK..N..KGGN...HHH
7 1 6  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
7 1 6  BB.CCCJDD..MJAALLMFFK..N..KGGN...HHH
8 2 6  JBBCCCJDD..MAA.LLMFFK..N..KGGN...HHH
8 2 6  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
8 2 6  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
8 2 6  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
8 2 6  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
8 2 6  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
8 2 6  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
8 2 6  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
8 2 6  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
8 2 6  BBCCC.JDD..MJAALLMFFK..N..KGGN...HHH
7 3 4  BBCCCMJDD..MJAALL.FFK..N..KGGN...HHH
4 4 0  BBCCCMJDD..MJAA...FFK..N..KGGN...HHH
5 5 0  BBCCCMJ.DD.MJAA...FFK..N..KGGN...HHH
5 5 0  BBCCCMJDD..MJ...AAFFK..N..KGGN...HHH
