3 0 3  .BBCCCJDD..MJAALLMFFK..N..KGGN...HHH
3 1 2  JBBCCCJDD..M.AALLMFFK..N..KGGN...HHH
3 1 2  .BBCCCJ.DD.MJAALLMFFK..N..KGGN...HHH
3 1 2  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
3 1 2  BB.CCCJDD..MJAALLMFFK..N..KGGN...HHH
4 2 2  JBBCCCJDD..MAA.LLMFFK..N..KGGN...HHH
4 2 2  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
4 2 2  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
4 2 2  BB.CCCJ..DDMJAALLMFFK..N..KGGN...HHH
4 2 2  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
4 2 2  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
4 2 2  .BBCCCJ..DDMJAALLMFFK..N..KGGN...HHH
4 2 2  BB.CCCJ.DD.MJAALLMFFK..N..KGGN...HHH
4 2 2  JBBCCCJ.DD.M.AALLMFFK..N..KGGN...HHH
4 2 2  BBCCC.JDD..MJAALLMFFK..N..KGGN...HHH
4 2 2  JBBCCCJ..DDM.AALLMFFK..N..KGGN...HHH
4 3 1  BBCCCMJDD..MJAALL.FFK..N..KGGN...HHH
4 4 0  BBCCCMJDD..MJAA...FFK..N..KGGN...HHH
5 3 2  BBCCC.J.DD.MJAALLMFFK..N..KGGN...HHH
5 3 2  BBCCC.J..DDMJAALLMFFK..N..KGGN...HHH
5 3 2  JBBCCCJ..DDMAA.LLMFFK..N..KGGN...HHH
5 3 2  BBCCC.J.DD.MJAALLMFFK..N..KGGN...HHH
5 5 0  BBCCCMJDD..MJ...AAFFK..N..KGGN...HHH
